Type,Datetime,Maxpower,Minpower,power_variance
大工业用电,2019-01-01,117888.33,51526.569,66361.761
大工业用电,2019-01-02,126843.7914,63638.4294,63205.362
大工业用电,2019-01-03,130286.1294,102048.2754,28237.854000000007
大工业用电,2019-01-04,133018.6344,104466.0762,28552.558200000014
大工业用电,2019-01-05,133504.4784,99507.3528,33997.1256
大工业用电,2019-01-06,128177.277,92752.5162,35424.760800000004
大工业用电,2019-01-07,130310.5716,103008.1572,27302.414399999994
大工业用电,2019-01-08,129944.3166,95916.0342,34028.28240000001
大工业用电,2019-01-09,125720.6202,99121.317,26599.30320000001
大工业用电,2019-01-10,123156.6018,100170.5898,22986.012000000002
大工业用电,2019-01-11,123400.7388,99387.8736,24012.8652
大工业用电,2019-01-12,113420.7912,88231.84800000001,25188.943199999994
大工业用电,2019-01-13,99806.6688,81903.0432,17903.6256
大工业用电,2019-01-14,110242.0782,84833.3448,25408.733399999997
大工业用电,2019-01-15,105242.3346,81276.8538,23965.480800000005
大工业用电,2019-01-16,102722.628,78212.1468,24510.481199999995
大工业用电,2019-01-17,101912.0022,75423.753,26488.249200000006
大工业用电,2019-01-18,101456.6616,75346.464,26110.1976
大工业用电,2019-01-19,93148.4814,68855.4522,24293.029200000004
大工业用电,2019-01-20,84260.3826,63102.6102,21157.772399999994
大工业用电,2019-01-21,89472.2976,63279.4662,26192.831400000003
大工业用电,2019-01-22,80256.1158,56346.8544,23909.261400000003
大工业用电,2019-01-23,73730.6076,51101.2008,22629.406800000004
大工业用电,2019-01-24,66859.4064,45051.612,21807.794400000006
大工业用电,2019-01-25,65554.6776,44423.679,21130.9986
大工业用电,2019-01-26,57079.9086,42317.6316,14762.277000000002
大工业用电,2019-01-27,47640.9036,37531.0986,10109.805
大工业用电,2019-01-28,46956.438,35645.0478,11311.390200000002
大工业用电,2019-01-29,44441.9736,34036.7826,10405.190999999999
大工业用电,2019-01-30,39320.913,31076.5764,8244.336599999999
大工业用电,2019-01-31,34190.5566,27491.793,6698.763600000002
大工业用电,2019-02-01,29698.923,18571.0344,11127.888599999998
大工业用电,2019-02-02,20169.7986,17216.9772,2952.821399999997
大工业用电,2019-02-03,20268.3438,16134.1296,4134.2141999999985
大工业用电,2019-02-04,19140.5814,16333.584,2806.9973999999984
大工业用电,2019-02-05,19396.0026,16234.2726,3161.7299999999996
大工业用电,2019-02-06,18910.236,16045.7868,2864.449200000001
大工业用电,2019-02-07,19173.006,16228.5366,2944.4694000000018
大工业用电,2019-02-08,18785.1606,16396.3824,2388.7782000000007
大工业用电,2019-02-09,19234.8096,15594.4416,3640.3680000000004
大工业用电,2019-02-10,20062.8756,15972.7464,4090.1291999999994
大工业用电,2019-02-11,24373.4634,16622.3304,7751.133000000002
大工业用电,2019-02-12,29531.1768,20452.554,9078.622800000001
大工业用电,2019-02-13,36491.2572,22638.5688,13852.6884
大工业用电,2019-02-14,57668.9514,26524.0062,31144.9452
大工业用电,2019-02-15,66612.2808,40255.6758,26356.604999999996
大工业用电,2019-02-16,72445.7592,218.904,72226.8552
大工业用电,2019-02-17,73400.1144,50435.3976,22964.71680000001
大工业用电,2019-02-18,85144.9368,52566.7086,32578.228199999998
大工业用电,2019-02-19,88835.7624,55820.3694,33015.393000000004
大工业用电,2019-02-20,99309.264,58936.5642,40372.699799999995
大工业用电,2019-02-21,105605.2194,61111.3164,44493.903
大工业用电,2019-02-22,109364.7084,66302.3832,43062.32520000001
大工业用电,2019-02-23,113842.0818,65781.8934,48060.1884
大工业用电,2019-02-24,108463.2624,70454.3598,38008.9026
大工业用电,2019-02-25,123272.9562,76269.195,47003.76119999999
大工业用电,2019-02-26,124566.6702,82972.8174,41593.85279999999
大工业用电,2019-02-27,130045.8114,82922.8002,47123.01120000001
大工业用电,2019-02-28,126584.6622,81783.7812,44800.88100000001
大工业用电,2019-03-01,127249.4376,85008.1818,42241.2558
大工业用电,2019-03-02,127938.4968,87346.3038,40592.193
大工业用电,2019-03-03,116814.834,81770.8014,35044.032600000006
大工业用电,2019-03-04,136369.5288,95851.5726,40517.9562
大工业用电,2019-03-05,133529.9292,97141.7946,36388.13460000002
大工业用电,2019-03-06,132401.73,102810.5502,29591.179800000013
大工业用电,2019-03-07,139271.3058,102735.3732,36535.9326
大工业用电,2019-03-08,139949.7582,103113.2148,36836.54340000001
大工业用电,2019-03-09,137539.932,99557.406,37982.526
大工业用电,2019-03-10,117868.473,95172.2136,22696.259399999995
大工业用电,2019-03-11,130910.0766,102215.8182,28694.258400000006
大工业用电,2019-03-12,138563.1168,103192.089,35371.02779999998
大工业用电,2019-03-13,140725.5858,104956.1148,35769.471000000005
大工业用电,2019-03-14,139172.6886,99662.6886,39510.0
大工业用电,2019-03-15,129078.9444,107425.392,21653.552399999986
大工业用电,2019-03-16,129090.3324,102393.5316,26696.800799999997
大工业用电,2019-03-17,122861.3904,99648.1734,23213.217000000004
大工业用电,2019-03-18,138200.595,113023.1634,25177.431599999996
大工业用电,2019-03-19,130698.7524,109989.8406,20708.9118
大工业用电,2019-03-20,138065.6274,105842.2224,32223.405
大工业用电,2019-03-21,138581.8242,107613.6024,30968.2218
大工业用电,2019-03-22,138016.2042,107900.9766,30115.227600000013
大工业用电,2019-03-23,130209.8406,1695.486,128514.35459999999
大工业用电,2019-03-24,120938.2776,1484.442,119453.8356
大工业用电,2019-03-25,127732.6662,95784.2442,31948.422000000006
